EVENT_VALUE,TAG_ID,EVENT_TIME
0.0,1503929,2020-03-16
0.3,1503930,2020-03-16
1.7269999999999999,1503931,2020-03-16
3.4,1503932,2020-03-16
4.993,1503933,2020-03-16
7.031000000000001,1503934,2020-03-16
11.213,1503935,2020-03-16
11.4,1503936,2020-03-16
11.927999999999999,1503937,2020-03-16
3.7,1503938,2020-03-16
5.632999999999999,1503939,2020-03-16
3.6,1503940,2020-03-16
9.272,1503941,2020-03-16
9.6,1503942,2020-03-16
8.877,1503943,2020-03-16
23.5,1503944,2020-03-16
23.737,1503945,2020-03-16
5.8,1503946,2020-03-16
7.399,1503947,2020-03-16
1.4,1503948,2020-03-16
1.4780000000000002,1503949,2020-03-16
0.0,1503950,2020-03-16
0.0,1503951,2020-03-16
16.1,1503952,2020-03-16
16.507,1503953,2020-03-16
0.0,1503954,2020-03-16
0.001,1503955,2020-03-16
0.0,1503956,2020-03-16
7.3,1503957,2020-03-16
15.353,1503958,2020-03-16
37.414,1503959,2020-03-16
19.202,1503960,2020-03-16
3.148,1503961,2020-03-16
1.776,1503962,2020-03-16
30.8,1503963,2020-03-16
26.788,1503964,2020-03-16
0.0,1503965,2020-03-16
0.0,1503966,2020-03-16
80.03,1503967,2020-03-16
79.197,1503968,2020-03-16
86.101,1503969,2020-03-16
86.588,1503970,2020-03-16
50.963,1503971,2020-03-16
50.066,1503972,2020-03-16
102.899,1503973,2020-03-16
102.98,1503974,2020-03-16
0.0,1503975,2020-03-16
0.040999999999999995,1503976,2020-03-16
208.824,1503977,2020-03-16
208.208,1503978,2020-03-16
0.0,1503979,2020-03-16
0.0,1503980,2020-03-16
186.238,1503981,2020-03-16
186.358,1503982,2020-03-16
0.0,1503983,2020-03-16
0.0,1503984,2020-03-16
0.0,1503985,2020-03-16
0.0,1503986,2020-03-16
0.047,1503987,2020-03-16
0.0,1503988,2020-03-16
168.701,1503989,2020-03-16
161.009,1503990,2020-03-16
0.0,1503991,2020-03-16
0.0,1503992,2020-03-16
0.0,1503993,2020-03-16
0.0,1503994,2020-03-16
0.0,1503995,2020-03-16
0.0,1503996,2020-03-16
0.0,1503997,2020-03-16
0.0,1503998,2020-03-16
0.0,1503999,2020-03-16
95.3,1503610,2020-01-16
6570.6,1503611,2020-01-16
6263.1,1503612,2020-01-16
54.3,1503613,2020-01-16
25.7,1503614,2020-01-16
279.0,1503616,2020-01-16
3.347,1503617,2020-01-16
3.455,1503618,2020-01-16
0.0,1503619,2020-01-16
0.0,1503620,2020-01-16
1.994,1503621,2020-01-16
3.5460000000000003,1503622,2020-01-16
